System;Station;Commodity;Sell;Buy;Demand;;Supply;;Date;
KIKAS;Crown Terminal;-;;;;;;;2014-12-18T06:24;
KIKAS;Crown Terminal;Hydrogen Fuel;90;94;;;38818;High;2014-12-18T06:24;
KIKAS;Crown Terminal;Clothing;182;195;;;6794;High;2014-12-18T06:24;
KIKAS;Crown Terminal;Consumer Technology;7096;;575;Med;;;2014-12-18T06:24;
KIKAS;Crown Terminal;Domestic Appliances;357;373;;;3661;High;2014-12-18T06:24;
KIKAS;Crown Terminal;Algae;202;;13591;Med;;;2014-12-18T06:24;
KIKAS;Crown Terminal;Animal Meat;1474;;875;Med;;;2014-12-18T06:24;
KIKAS;Crown Terminal;Coffee;1474;;1282;Med;;;2014-12-18T06:24;
KIKAS;Crown Terminal;Fish;498;;3987;Med;;;2014-12-18T06:24;
KIKAS;Crown Terminal;Food Cartridges;35;45;;;82035;High;2014-12-18T06:24;
KIKAS;Crown Terminal;Fruit And Vegetables;399;;4625;Med;;;2014-12-18T06:24;
KIKAS;Crown Terminal;Grain;278;;12598;Med;;;2014-12-18T06:24;
KIKAS;Crown Terminal;Synthetic Meat;328;;2987;Med;;;2014-12-18T06:24;
KIKAS;Crown Terminal;Tea;1662;;950;Med;;;2014-12-18T06:24;
KIKAS;Crown Terminal;Polymers;218;;168294;Med;;;2014-12-18T06:24;
KIKAS;Crown Terminal;Semiconductors;1039;;113778;Med;;;2014-12-18T06:24;
KIKAS;Crown Terminal;Superconductors;7096;;3451;Med;;;2014-12-18T06:24;
KIKAS;Crown Terminal;Beer;242;;8687;Med;;;2014-12-18T06:24;
KIKAS;Crown Terminal;Liquor;731;;1262;Med;;;2014-12-18T06:24;
KIKAS;Crown Terminal;Wine;328;;4713;Med;;;2014-12-18T06:24;
KIKAS;Crown Terminal;Atmospheric Processors;257;269;;;46753;High;2014-12-18T06:24;
KIKAS;Crown Terminal;Crop Harvesters;1838;1861;;;11042;High;2014-12-18T06:24;
KIKAS;Crown Terminal;Marine Equipment;3703;3747;;;6729;High;2014-12-18T06:24;
KIKAS;Crown Terminal;Mineral Extractors;472;493;;;18260;Med;2014-12-18T06:24;
KIKAS;Crown Terminal;Power Generators;357;373;;;3623;High;2014-12-18T06:24;
KIKAS;Crown Terminal;Water Purifiers;170;182;;;317437;High;2014-12-18T06:24;
KIKAS;Crown Terminal;Basic Medicines;182;195;;;60607;High;2014-12-18T06:24;
KIKAS;Crown Terminal;Performance Enhancers;7096;;971;Med;;;2014-12-18T06:24;
KIKAS;Crown Terminal;Titanium;1165;;51325;Med;;;2014-12-18T06:24;
KIKAS;Crown Terminal;Uranium;2896;;23808;Med;;;2014-12-18T06:24;
KIKAS;Crown Terminal;Auto-Fabricators;3974;;3710;Med;;;2014-12-18T06:24;
KIKAS;Crown Terminal;Computer Components;357;373;;;3623;High;2014-12-18T06:24;
KIKAS;Crown Terminal;H.E. Suits;353;;35195;Med;;;2014-12-18T06:24;
KIKAS;Crown Terminal;Robotics;1994;;4314;Med;;;2014-12-18T06:24;
KIKAS;Crown Terminal;Leather;242;;325546;Med;;;2014-12-18T06:24;
KIKAS;Crown Terminal;Natural Fabrics;498;;46667;Med;;;2014-12-18T06:24;
KIKAS;Crown Terminal;Synthetic Fabrics;254;;117487;Med;;;2014-12-18T06:24;
KIKAS;Crown Terminal;Biowaste;11;14;;;2191;High;2014-12-18T06:24;
KIKAS;Crown Terminal;Scrap;27;31;;;49008;High;2014-12-18T06:24;
KIKAS;Crown Terminal;Non-Lethal Weapons;1994;;285;Med;;;2014-12-18T06:24;
KIKAS;Crown Terminal;Reactive Armour;2256;;212;Med;;;2014-12-18T06:24;
KIKAS;Crown Terminal;Progenitor Cells;7098;;159;Med;;;2014-12-18T06:25;
KIKAS;Crown Terminal;Aluminium;416;;143278;Med;;;2014-12-18T06:25;
KIKAS;Crown Terminal;Beryllium;8629;;9920;Med;;;2014-12-18T06:25;
KIKAS;Crown Terminal;Cobalt;831;;13975;Med;;;2014-12-18T06:25;
KIKAS;Crown Terminal;Copper;576;;100062;Med;;;2014-12-18T06:25;
KIKAS;Crown Terminal;Gallium;5477;;14233;Med;;;2014-12-18T06:25;
KIKAS;Crown Terminal;Colo;9833;;17943;Med;;;2014-12-18T06:25;
KIKAS;Crown Terminal;Inoium;6233;;6470;Med;;;2014-12-18T06:25;
KIKAS;Crown Terminal;Lithium;1766;;35885;Med;;;2014-12-18T06:25;
KIKAS;Crown Terminal;Palladium;13653;;13888;Med;;;2014-12-18T06:25;
KIKAS;Crown Terminal;Platinum;18990;;1036;Med;;;2014-12-18T06:25;
KIKAS;Crown Terminal;Silver;5135;;30019;Med;;;2014-12-18T06:25;
KIKAS;Crown Terminal;Tantalum;4236;;8713;Med;;;2014-12-18T06:25;
KISTSI CONFEDERATION;Revin Horizons;Explosives;327;;16634;Low;;;2014-12-19T03:00;
KISTSI CONFEDERATION;Revin Horizons;Hydrogen Fuel;90;94;;;100393;High;2014-12-19T03:00;
KISTSI CONFEDERATION;Revin Horizons;Clothing;181;194;;;118485;High;2014-12-19T03:00;
KISTSI CONFEDERATION;Revin Horizons;Consumer Technology;7080;;2600;Med;;;2014-12-19T03:00;
KISTSI CONFEDERATION;Revin Horizons;Domestic Appliances;410;429;;;6082;Med;2014-12-19T03:00;
KISTSI CONFEDERATION;Revin Horizons;Algae;202;;94795;Med;;;2014-12-19T03:00;
KISTSI CONFEDERATION;Revin Horizons;Animal Meat;1470;;4603;Med;;;2014-12-19T03:00;
KISTSI CONFEDERATION;Revin Horizons;Coffee;1470;;1693;Med;;;2014-12-19T03:00;
KISTSI CONFEDERATION;Revin Horizons;Fish;497;;13991;Med;;;2014-12-19T03:00;
KISTSI CONFEDERATION;Revin Horizons;Food Cartridges;35;45;;;155906;High;2014-12-19T03:00;
KISTSI CONFEDERATION;Revin Horizons;Fruit And Vegetables;398;;6105;Med;;;2014-12-19T03:00;
KISTSI CONFEDERATION;Revin Horizons;Grain;277;;32594;Med;;;2014-12-19T03:00;
KISTSI CONFEDERATION;Revin Horizons;Synthetic Meat;327;;3943;Med;;;2014-12-19T03:00;
KISTSI CONFEDERATION;Revin Horizons;Tea;1658;;4298;Med;;;2014-12-19T03:00;
KISTSI CONFEDERATION;Revin Horizons;Polymers;209;;154881;Med;;;2014-12-19T03:00;
KISTSI CONFEDERATION;Revin Horizons;Semiconductors;1034;;224865;Med;;;2014-12-19T03:00;
KISTSI CONFEDERATION;Revin Horizons;Superconductors;6979;;20218;Med;;;2014-12-19T03:00;
KISTSI CONFEDERATION;Revin Horizons;Beer;242;;21069;Med;;;2014-12-19T03:00;
KISTSI CONFEDERATION;Revin Horizons;Liquor;730;;1562;Med;;;2014-12-19T03:00;
KISTSI CONFEDERATION;Revin Horizons;Tobacco;5123;;2276;Med;;;2014-12-19T03:00;
KISTSI CONFEDERATION;Revin Horizons;Wine;327;;22074;Med;;;2014-12-19T03:00;
KISTSI CONFEDERATION;Revin Horizons;Atmospheric Processors;256;269;;;185854;High;2014-12-19T03:00;
KISTSI CONFEDERATION;Revin Horizons;Crop Harvesters;1834;1858;;;220895;High;2014-12-19T03:00;
KISTSI CONFEDERATION;Revin Horizons;Marine Equipment;3694;3741;;;132262;High;2014-12-19T03:00;
KISTSI CONFEDERATION;Revin Horizons;Mineral Extractors;435;454;;;159245;High;2014-12-19T03:00;
KISTSI CONFEDERATION;Revin Horizons;Power Generators;356;372;;;346053;High;2014-12-19T03:00;
KISTSI CONFEDERATION;Revin Horizons;Water Purifiers;186;200;;;11330;Med;2014-12-19T03:00;
KISTSI CONFEDERATION;Revin Horizons;Basic Medicines;181;194;;;119666;High;2014-12-19T03:00;
KISTSI CONFEDERATION;Revin Horizons;Performance Enhancers;7080;;3298;Med;;;2014-12-19T03:01;
KISTSI CONFEDERATION;Revin Horizons;Progenitor Cells;7080;;1207;Med;;;2014-12-19T03:01;
KISTSI CONFEDERATION;Revin Horizons;Aluminium;380;;212138;Med;;;2014-12-19T03:01;
KISTSI CONFEDERATION;Revin Horizons;Beryllium;8162;;4982;Low;;;2014-12-19T03:01;
KISTSI CONFEDERATION;Revin Horizons;Cobalt;502;524;;;194064;High;2014-12-19T03:01;
KISTSI CONFEDERATION;Revin Horizons;Copper;492;;39851;Low;;;2014-12-19T03:01;
KISTSI CONFEDERATION;Revin Horizons;Gallium;5407;;77758;Med;;;2014-12-19T03:01;
KISTSI CONFEDERATION;Revin Horizons;Gold;9751;;34559;Med;;;2014-12-19T03:01;
KISTSI CONFEDERATION;Revin Horizons;Inoium;6129;;67318;Med;;;2014-12-19T03:01;
KISTSI CONFEDERATION;Revin Horizons;Lithium;1599;;14257;Low;;;2014-12-19T03:01;
KISTSI CONFEDERATION;Revin Horizons;Palladium;12517;12534;;;20644;High;2014-12-19T03:01;
KISTSI CONFEDERATION;Revin Horizons;Platinum;18944;;2062;Med;;;2014-12-19T03:01;
KISTSI CONFEDERATION;Revin Horizons;Silver;5002;;57164;Med;;;2014-12-19T03:01;
KISTSI CONFEDERATION;Revin Horizons;Tantalum;4197;;99188;Med;;;2014-12-19T03:01;
KISTSI CONFEDERATION;Revin Horizons;Titanium;1096;;105432;Med;;;2014-12-19T03:01;
KISTSI CONFEDERATION;Revin Horizons;Uranium;2851;;130069;Med;;;2014-12-19T03:01;
KISTSI CONFEDERATION;Revin Horizons;Bauxite;46;56;;;825069;High;2014-12-19T03:01;
KISTSI CONFEDERATION;Revin Horizons;Bertrandite;2289;2319;;;3332;Med;2014-12-19T03:01;
KISTSI CONFEDERATION;Revin Horizons;Coltan;1220;1252;;;10573;Med;2014-12-19T03:01;
KISTSI CONFEDERATION;Revin Horizons;Gallite;1741;1764;;;4079;Med;2014-12-19T03:01;
KISTSI CONFEDERATION;Revin Horizons;Indite;1995;2021;;;9251;Med;2014-12-19T03:01;
KISTSI CONFEDERATION;Revin Horizons;Lepidolite;471;493;;;1090;Med;2014-12-19T03:01;
KISTSI CONFEDERATION;Revin Horizons;Rutile;193;207;;;673112;High;2014-12-19T03:01;
KISTSI CONFEDERATION;Revin Horizons;Uraninite;672;691;;;131947;High;2014-12-19T03:01;
KISTSI CONFEDERATION;Revin Horizons;Auto-Fabricators;3964;;7387;Med;;;2014-12-19T03:01;
KISTSI CONFEDERATION;Revin Horizons;Bioreducing Lichen;1097;;32170;Med;;;2014-12-19T03:01;
KISTSI CONFEDERATION;Revin Horizons;Computer Components;356;372;;;71800;High;2014-12-19T03:01;
KISTSI CONFEDERATION;Revin Horizons;H.E. Suits;352;;91016;Med;;;2014-12-19T03:01;
KISTSI CONFEDERATION;Revin Horizons;Robotics;1990;;16909;Med;;;2014-12-19T03:01;
KISTSI CONFEDERATION;Revin Horizons;Leather;242;;259201;Med;;;2014-12-19T03:01;
KISTSI CONFEDERATION;Revin Horizons;Natural Fabrics;497;;464809;Med;;;2014-12-19T03:01;
KISTSI CONFEDERATION;Revin Horizons;Synthetic Fabrics;245;;108187;Med;;;2014-12-19T03:01;
KISTSI CONFEDERATION;Revin Horizons;Biowaste;11;14;;;2824;High;2014-12-19T03:01;
KISTSI CONFEDERATION;Revin Horizons;Scrap;27;31;;;38314;High;2014-12-19T03:01;
KISTSI CONFEDERATION;Revin Horizons;Battle Weapons;6078;6153;;;1031;High;2014-12-19T03:01;
KISTSI CONFEDERATION;Revin Horizons;Non-Lethal Weapons;1990;;1;Med;;;2014-12-19T03:01;
KISTSI CONFEDERATION;Revin Horizons;Reactive Armour;2251;;267;Med;;;2014-12-19T03:01;
